Title,Category,Categories,Authors,Price in NIS,Year,Synopsis,Synopsis length,Price in USD,StarRating,NumberOfReviews,Language,Format,Dimensions,Dimensions unit,Weight,Weight unit,ISBN,num_authors,is_expensive
"Etty Hillesum: An Interrupted Life the Diaries, 1941-1943 and Letters From Westerbork - Hillesum, Etty ; Hoffman, Eva","Related to jewish people or groupsBiography: historical, political and military","Interest Qualifiers, Social Culture, Religious Communities, Jews",Etty Hillesum,80.15,,"For the first time, Etty Hillesum's diary and letters appear together to give us the fullest possible portrait of this extraordinary woman in the midst of World War II. In the darkest years of Nazi occupation and genocide, Etty Hillesum remained a celebrant of life whose lucid intelligence, sympathy, and almost impossible gallantry were themselves a form of inner resistance. The adult counterpart to Anne Frank, Hillesum testifies to the possibility of awareness and compassion in the face of the most devastating challenge to one's humanity. She died at Auschwitz in 1943 at the age of twenty-nine.",602,26.63,,0,English,Paperback,"21.4, 14.1, 2.8",cm,0.39,kg,9780805050875,1,True
"Everybody Is a Poem: Midlife in Rhymes - Brierton, Jan",IrelandUnited kingdomPoetry,"Place Qualifiers, Europe, Western Europe, Ireland",Jan Brierton,42.3,,"For the multitaskers, the overreactors, the silent screamers and the quiet loversEverybody Is a Poem: Midlife in Rhymes is Jan Brierton's second collection. Inspired by Jan's popular podcast these 52 poems delve into the darkest and brightest moments of our day, month or year.Combining rhyme and illustration, Jan puts simple words to those deepest of feelings. She riffs on menopause, midlife, the mental load, friendships, relationships, loss and self-acceptance. Plain-speaking and completely relatable, each poem is served with Jan's signature combination of humour, wit and poignancy.This is poetry for everybody.",619,14.06,,0,English,Paperback,,,,,9781848409200,1,False
Garfield fat cat 3-Pack #1 - Jim Davis,Anthologies: generalHumour collections and anthologiesNature and the natural world: general interestAmerican/british style comic books and graphic novelsComic strips,"Biographies Literature Literay Studies, Biographies, Anthologies",Jim Davis,60.59,2003.0,"The perfect holiday gift for fans of the flabby tabby, this rollicking collection includes three books in one: Garfield at Large, Garfield Gains Weight, and Garfield Bigger Than Life. Witty, urbane, sassy, and downright delightful, here are the first three original books of pure Garfield collected in one packed volume. They tell the story of the feisty feline's birth, adoption, and growth into general wonderfulness--just in case you've forgotten--and remind us why we loved him like we do.",493,20.13,,0,English,Paperback,"22.9, 21.6, 2.0",cm,0.75,kg,9780345464552,1,False
"Genghis Khan and the Making of the Modern World  - Weatherford, Jack","EuropeAsiaBiography: historical, political and militaryEuropean history: middle agesAsian history","Place Qualifiers, Europe",Jack Weatherford,67.24,2005.0,"NEW YORK TIMES BESTSELLER - The startling true history of how one extraordinary man from a remote corner of the world created an empire that led the world into the modern age--by the author featured in Echoes of the Empire: Beyond Genghis Khan. The Mongol army led by Genghis Khan subjugated more lands and people in twenty-five years than the Romans did in four hundred. In nearly every country the Mongols conquered, they brought an unprecedented rise in cultural communication, expanded trade, and a blossoming of civilization. Vastly more progressive than his European or Asian counterparts, Genghis Khan abolished torture, granted universal religious freedom, and smashed feudal systems of aristocratic privilege. From the story of his rise through the tribal culture to the explosion of civilization that the Mongol Empire unleashed, this brilliant work of revisionist history is nothing less than the epic story of how the modern world was made.",952,22.34,,0,English,Paperback,"20.1, 13.2, 2.3",cm,0.27,kg,9780609809648,1,True
How to Read a Book: The Classic Guide to Intelligent Reading  - Mortimer J. Adler,Literature: history and criticismPhilosophy,"Biographies Literature Literay Studies, Literature",Mortimer J. AdlerCharles Van Doren,50.07,1972.0,"With half a million copies in print,  How to Read a Book is the best and most successful guide to reading comprehension for the general reader, completely rewritten and updated with new material. A CNN Book of the Week: ""Explains not just why we should read books, but how we should read them. It's masterfully done."" -Farheed Zakaria Originally published in 1940, this book is a rare phenomenon, a living classic that introduces and elucidates the various levels of reading and how to achieve them--from elementary reading, through systematic skimming and inspectional reading, to speed reading. Readers will learn when and how to ""judge a book by its cover,"" and also how to X-ray it, read critically, and extract the author's message from the text. Also included is instruction in the different techniques that work best for reading particular genres, such as practical books, imaginative literature, plays, poetry, history, science and mathematics, philosophy and social science works. Finally, the authors offer a recommended reading list and supply reading tests you can use measure your own progress in reading skills, comprehension, and speed.",1151,16.64,4.25,4,English,Paperback,"20.8, 17.1, 2.7",cm,0.37,kg,9780671212094,1,False
"How to Starve Cancer: And Then Kill it With Ferroptosis  - McLelland, Jane","Biography: science, technology and medicineCoping with cancerSelf-assertion, motivation, self-esteem and positive mental attitude","Biographies Literature Literay Studies, Biographies, General, Science Technology Medicine",Jane McLelland,85.67,2021.0,"An international publishing sensation. This page-turning inspirational read is updated with a new 'Metro Map', Jane's unique and revolutionary route map to starving cancer. A glossary and index will also be included. Written in two sections, in Part 1 Jane intertwines her remarkable life story of 'terminal cancer' to full recovery, describing how she discovered a unique cocktail of off label drugs (drugs usually prescribed for other conditions) and supplements that effectively starve the cancer stem cell, the cell left behind by conventional treatment. Treatment for the stem cell is hailed as the Holy Grail, so this book plugs the missing piece into why we do not have a cure for cancer. Lead cancer researchers at top oncology centers are now using this book as a guide and Jane has a huge following of tens of thousands on Facebook. Testimonials abound from happy and delighted recovered patients and from oncologists who use her methods. National press, TV and radio have already covered Jane's ground-breaking research. Much more is in the pipeline with two documentaries and a possible movie in the future. Jane won the 'Amazing Women Global' Lifetime Achievement 2019 and the New York Big Book Award 2019",1218,28.47,,0,English,Paperback,"22.6, 15.0, 3.0",cm,0.8,kg,9780951951743,1,True
"I saw Ramallah  - Barghouti, Mourid ; Said, Edward W. ; Soueif, Ahdaf",Middle eastLiterature: history and criticism,"Place Qualifiers, Asia, Near East",Mourid Barghouti,53.93,2003.0,"WINNER OF THE NAGUIB MAHFOUZ MEDAL FOR LITERATURE A fierce and moving work and an unparalleled rendering of the human aspects of the Palestinian predicament.  Barred from his homeland after 1967's Six-Day War, the poet Mourid Barghouti spent thirty years in exile--shuttling among the world's cities, yet secure in none of them; separated from his family for years at a time; never certain whether he was a visitor, a refugee, a citizen, or a guest. As he returns home for the first time since the Israeli occupation, Barghouti crosses a wooden bridge over the Jordan River into Ramallah and is unable to recognize the city of his youth. Sifting through memories of the old Palestine as they come up against what he now encounters in this mere ""idea of Palestine,"" he discovers what it means to be deprived not only of a homeland but of ""the habitual place and status of a person."" A tour de force of memory and reflection, lamentation and resilience, I Saw Ramallah is a deeply humane book, essential to any balanced understanding of today's Middle East.",1055,17.92,,0,English,Paperback,"20.9, 12.8, 0.8",cm,0.22,kg,9781400032662,1,False
"Initiation  - Haich, Elisabeth","Biography: generalMind, body and spirit: thought and practice","Biographies Literature Literay Studies, Biographies, General",Elisabeth Haich,76.56,2000.0,"An autobiography that connects the twentieth century European life of internationally beloved teacher Elisabeth Haich and her lucid memories of initiation into the hidden mystical teachings of the priesthood in ancient Egypt. It reveals her insights into the subtle workings of karma, reincarnation, and spiritual development.",326,25.44,,0,English,Paperback,"21.3, 14.0, 2.8",cm,0.5,kg,9780943358505,1,True
"Into the Planet: My Life as a Cave Diver  - Heinerth, Jill",Biography: adventurers and explorersMemoirsOceanography (seas and oceans),"Biographies Literature Literay Studies, Biographies, General, Adventurer Explorers",Jill Heinerth,65.73,2020.0,"From one of the world's most renowned cave divers, a firsthand account of exploring the earth's final frontier: the hidden depths of our oceans and the sunken caves inside our planetMore people have died exploring underwater caves than climbing Mount Everest, and we know more about deep space than we do about the depths of our oceans. From one of the top cave divers working today--and one of the very few women in her field--Into the Planet blends science, adventure, and memoir to bring readers face-to-face with the terror and beauty of earth's remaining unknowns and the extremes of human capability.Jill Heinerth--the first person in history to dive deep into an Antarctic iceberg and leader of a team that discovered the ancient watery remains of Mayan civilizations--has descended farther into the inner depths of our planet than any other woman. She takes us into the harrowing split-second decisions that determine whether a diver makes it back to safety, the prejudices that prevent women from pursuing careers underwater, and her endeavor to recover a fallen friend's body from the confines of a cave. But there's beauty beyond the danger of diving, and while Heinerth swims beneath our feet in the lifeblood of our planet, she works with biologists discovering new species, physicists tracking climate change, and hydrogeologists examining our finite freshwater reserves. Written with hair-raising intensity, Into the Planet is the first book to deliver an intimate account of cave diving, transporting readers deep into inner space, where fear must be reconciled and a mission's success balances between knowing one's limits and pushing the envelope of human endurance.",1684,21.84,,0,English,Paperback,"22.6, 15.0, 2.0",cm,0.32,kg,9780062691552,1,True
"Magnum Contact Sheets  - Lubben, Kristen",Photographic collectionsPhotojournalism and documentary photographyBiography: general,"Arts, Photography Photographers, Collections",Kristen Lubben,159.12,2017.0,"Available for the first time in an accessible paperback edition, this groundbreaking book presents a remarkable selection of contact sheets and ancillary material, revealing how the most celebrated Magnum photographers capture and edit the very best shots. Addressing key questions of photographic practice, the book illuminates the creative methods, strategies, and editing processes behind some of the world's most iconic images.Featured are 139 contact sheets from sixty- nine photographers, as well as zoom-in details, selected photographs, press cards, notebooks, and spreads from contemporary publications including Life magazine and Picture Post. Further insight into each contact sheet is provided by texts written by the photographers themselves or by experts chosen by the members' estates. Many of the acknowledged greats of photography are featured, including Henri Cartier- Bresson, Elliott Erwitt, and Inge Morath, as well as such members of Magnum's latest generation as Jonas Bendiksen, Alessandra Sanguinetti, and Alec Soth. The contact sheets cover over seventy years of history, from Robert Capa's Normandy landings and the Paris riots of 1968 via Bruno Barbey, to images of Che Geuvara by René Burri, Malcolm X by Eve Arnold, and portraits of classic New Yorkers by Bruce Gilden.",1299,52.87,,0,English,Paperback,"29.2, 24.1, 3.8",cm,2.81,kg,9780500292914,1,True
"Man's Search for Meaning  - Frankl, Viktor E. ; Kushner, Harold S. ; Winslade, William J.","Biography: historical, political and militaryPsychotherapyThe holocaust","Biographies Literature Literay Studies, Biographies, General, Historical Political Military",Viktor E. Frankl,60.99,2006.0,"A book for finding purpose and strength in times of great despair, the international best-seller is still just as relevant today as when it was first published. ""This is a book I reread a lot . . . it gives me hope . . . it gives me a sense of strength.""--Anderson Cooper, Anderson Cooper 360/CNN This seminal book, which has been called ""one of the outstanding contributions to psychological thought"" by Carl Rogers and ""one of the great books of our time"" by Harold Kushner, has been translated into more than fifty languages and sold over sixteen million copies. ""An enduring work of survival literature,"" according to the New York Times, Viktor Frankl's riveting account of his time in the Nazi concentration camps, and his insightful exploration of the human will to find meaning in spite of the worst adversity, has offered solace and guidance to generations of readers since it was first published in 1946. At the heart of Frankl's theory of logotherapy (from the Greek word for ""meaning"") is a conviction that the primary human drive is not pleasure, as Freud maintained, but rather the discovery and pursuit of what the individual finds meaningful. Today, as new generations face new challenges and an ever more complex and uncertain world, Frankl's classic work continues to inspire us all to find significance in the very act of living, in spite of all obstacles. A must-read companion to this classic work, a new, never-before-published work by Frankl entitled Yes to Life: In Spite of Everything, is now available in English. This book was published with two different covers. Customers will be shipped the book with one of the available covers.",1658,20.27,,0,English,Paperback,"20.4, 15.5, 1.3",cm,0.24,kg,9780807014271,1,False
Meditations (Collins Classics)  - Marcus Aurelius,"Ancient, classical and medieval texts","Biographies Literature Literay Studies, Ancient Classical Medieval Texts",Marcus Aurelius,36.94,2020.0,"HarperCollins is proud to present its incredible range of best-loved, essential classics.Our life is what our thoughts make itThe extraordinary writings of Marcus Aurelius (AD 121-180), the only Roman emperor to have also been a stoic philosopher, have for centuries been praised for their wisdom, insight and guidance by leaders and great thinkers alike. Never intended for publication, Meditations are the personal notes born from a man who studied his unique position of power as emperor while trying to uphold inner balance in the chaotic world around him.Boldly challenging many of our biggest questions, Aurelius wrestles with the divided self, considering the complexities of human nature, rationality and moral virtue, affirming its place as one of the most timeless, significant works of philosophy to date.",816,12.28,,0,English,Paperback,,,,,9780008425012,1,False
"Meditations (Marcus Aurelius)  - Aurelius, Marcus","Ancient, classical and medieval textsPhilosophy of scienceInfluence of science and technology on societyAncient greek and roman philosophy","Biographies Literature Literay Studies, Ancient Classical Medieval Texts",Marcus Aurelius,46.85,2020.0,"The Meditations are a set of personal reflections by Marcus Aurelius. He writes about the vicissitudes of his own life and explores how to live wisely and virtuously in an unpredictable world. Part of the Macmillan Collector's Library; a series of stunning, clothbound, pocket sized classics with gold foiled edges and ribbon markers. These beautiful books make perfect gifts or a treat for any book lover. This edition is translated by A. S. L. Farquharson and features an introduction by John Sellars.  Marcus Aurelius was a follower of the Stoic tradition of philosophy, and one of its finest advocates, both in the clarity of his writing and in the uprightness of his life. The aphorisms show how for him, as perhaps for us all, the answer to life lies in keeping a calm and rational mind, and in refusing to be cast down or alarmed by things over which we have no control.",877,15.57,,0,English,Hardcover,"15.7, 9.9, 1.5",cm,0.14,kg,9781529015027,1,False
Meditations  - Marcus Aurelius,Anthologies: general,"Biographies Literature Literay Studies, Biographies, Anthologies",Marcus Aurelius,37.83,,"Unabridged private reflections of the Emperor of Rome, on how one is to exist in a world of chaos. Meditations by Marcus Aurelius and in the most accepted translation by George Long, is a book that belongs on everyone’,s shelf.  A favorite of Bill Clinton and John Steinbeck, and influencer of many others for 2,000 years, it is as relevant today to those in power struggles over empires and boardrooms as it was when it was first recorded. ,  This Value Classic Reprint provides a slim volume with full text at an affordable price._,",534,12.57,,0,English,Paperback,,,,,9781945644573,1,False
Mein Kampf (German Language Edition) (in German) - Adolf Hitler,"C. 1914–c. 1918 (period of the first world war)C. 1939–c. 1945 (era of the second world war)Biography: historical, political and militaryFirst world warSecond world war","Time Period Qualifiers, C 1500 To Present, 20Th Century, Century Xx First Half, C 1910 C 1919, World War First War",Adolf Hitler,175.45,2010.0,This is Adolf Hitler's book Mein Kampf which he dictated while in prison. It is a reprint of an original German language Mein Kampf published in 1943. It includes both Mein Kampf volumes written in 1924 and 1926. This edition is in GERMAN just as it was originally written.,273,58.29,,0,German,Hardcover,"22.9, 15.2, 4.0",cm,1.09,kg,9780984158454,1,True
Mein Kampf : The Official 1939 Edition - Adolf Hitler,"Biography: historical, political and military","Biographies Literature Literay Studies, Biographies, General, Historical Political Military",Adolf Hitler,139.36,2011.0,"""The great masses of the people will more easily fall victim to a big lie than to a small one.""Adolf HitlerThe officially sanctioned English language edition of 'Mein Kampf' was translated and introduced by James Murphy. The edition using his translation was first published as a two volume set in the UK in 1939 and also in 22 weekly parts by Hutchison and Co Ltd. This authentic paperback brings together both of the original volumes complete with Murphy's 1939 introduction and a new introduction by Emmy Awardtm winning historian Bob Carruthers.Murphy's was the only translation which was officially endorsed by the Nazi party during Hitler's lifetime and as such represents an opportunity to approach the work as it was presented to contemporary readers. This was the version of 'Mein Kampf' which the Nazi party hoped would spread the gospel of National Socialism throughout the UK, but by the time publication was underway World War II had commenced. Somewhat surprisingly, publication of the weekly illustrated edition was allowed to continue although all proceeds from the sale were diverted to the British Red Cross.This new publication of the entire primary source provides the reader with access to the complete historical document and provides a unique insight into the past by reproducing 'Mein Kampf' as it was presented to British readers in the thirties.",1371,46.3,,0,English,Hardcover,"22.9, 15.2, 2.9",cm,,,9781908538697,1,True
Mi año de sexo y relajación (in Spanish) - Romina Pistolas,"Autobiography: generalAutobiography: arts and entertainmentBiography: writersHealth, relationships and personal developmentLifestyle, hobbies and leisure","Biographies Literature Literay Studies, Biographies, General, Autobiographies",Romina Pistolas,83.15,2026.0,"La figura más controver da de la escena literaria actual revela sus historias ínmas en este diariopersonal.ContenidoRominas Pistolas es chilena, su familia es de Calbuco, pero se fue a vivir a Australia donde trabajópor años como stripper. Lanzó un libro y se convir ó en un fenómeno. En medio de los cambiosque supuso exponer su vida a través de la ficción, comenzó a escribir un blog, una suerte debitácora muy personal que no pensaba publicar. Pero lo hizo.Esta vez, Romina no se guarda nada. Ya no es su alter ego literario. Con el mismo sen do del humory una refrescante pero incisiva, narra sus encuentros y desencuentros sexuales y su historia deamor y desamor con Pololo y Jota, dos gringos muy dis ntos, que comparten el corazón de Romina.A través de graciosas reflexiones y momentos de verdadera emoción, este diario es un retratoínmo, honesto y valiente de una mujer en pleno proceso de autodescubrimiento.",917,27.63,5.0,3,Spanish,Paperback,"23, 15",X,,,9789566190745,1,True
"Napoleon: A Life  - Roberts, Andrew","FranceBiography: historical, political and militaryTrue stories of war and combatEuropean history","Place Qualifiers, Europe, Western Europe, France",Andrew Roberts,80.55,2015.0,"The definitive biography of the great soldier-statesman by the acclaimed author of Churchill and The Last King of America--winner of the LA Times Book prize, finalist for the Plutarch prize, winner of the Fondation Napoleon prize and a New York Times bestseller  ""A thrilling tale of military and political genius... Roberts is an uncommonly gifted writer."" --The Washington PostAusterlitz, Borodino, Waterloo: his battles are among the greatest in history, but Napoleon Bonaparte was far more than a military genius and astute leader of men. Like George Washington and his own hero Julius Caesar, he was one of the greatest soldier-statesmen of all times.  Andrew Roberts's Napoleon is the first one-volume biography to take advantage of the recent publication of Napoleon's thirty-three thousand letters, which radically transform our understanding of his character and motivation. At last we see him as he was: protean multitasker, decisive, surprisingly willing to forgive his enemies and his errant wife Josephine. Like Churchill, he understood the strategic importance of telling his own story, and his memoirs, dictated from exile on St. Helena, became the single bestselling book of the nineteenth century.  An award-winning historian, Roberts traveled to fifty-three of Napoleon's sixty battle sites, discovered crucial new documents in archives, and even made the long trip by boat to St. Helena. He is as acute in his understanding of politics as he is of military history. Here at last is a biography worthy of its subject: magisterial, insightful, beautifully written, by one of our foremost historians.",1616,26.77,5.0,3,English,Paperback,"22.9, 15.2, 5.3",cm,0.99,kg,9780143127857,1,True
